id,name,RepID,species,len,Tax
P40866/1-206,,,,,
UniRef100_UPI001785C6D9/1-206,Cluster: stage V sporulation protein AA,UPI001785C6D9,Bacillus sp. PS06,207,2764176
UniRef100_UPI00194F024F/1-205,Cluster: stage V sporulation protein AA,UPI00194F024F,Bacillus sp. RD4P76,207,2810349
UniRef100_A0A2N3LMY0/1-205,Cluster: Stage V sporulation protein AA,A0A2N3LMY0,Margalitia camelliae,206,1707093
UniRef100_A0A7S8CBI1/2-205,Cluster: Stage V sporulation protein AA,A0A7S8CBI1,Bacillaceae bacterium R1DC41,206,2593652
UniRef100_UPI0011CB8796/1-205,Cluster: stage V sporulation protein AA,UPI0011CB8796,Bacillus marasmi,206,1926279
UniRef100_UPI001BC95B15/1-205,Cluster: stage V sporulation protein AA,UPI001BC95B15,Bacillus sp. FJAT-49736,206,2833582
UniRef100_A0A2N5GRT6/1-202,Cluster: Stage V sporulation protein AA,A0A2N5GRT6,Bacillus canaveralius,204,1403243
UniRef100_UPI001C8D58D1/1-205,Cluster: stage V sporulation protein AA,UPI001C8D58D1,Bacillus sp. S/N-304-OC-R1,206,2758034
UniRef100_A0A0Q3WX91/1-205,Cluster: Stage V sporulation protein AA,A0A0Q3WX91,Margalitia shackletonii,206,157838
UniRef100_A0A4R1QJ20/1-206,Cluster: Stage V sporulation protein AA,A0A4R1QJ20,Thermolongibacillus altinsuensis,207,575256
UniRef100_A0A6M0Q4L4/1-205,Cluster: Stage V sporulation protein AA,A0A6M0Q4L4,Bacillus mesophilus,206,1808955
UniRef100_A0A235FBS4/1-204,Cluster: Stage V sporulation protein AA,A0A235FBS4,Fictibacillus aquaticus,206,2021314
UniRef100_A0A6B3W121/1-205,Cluster: Stage V sporulation protein AA,A0A6B3W121,Bacillus aquiflavi,206,2672567
UniRef100_UPI001C8D1904/1-205,Cluster: stage V sporulation protein AA,UPI001C8D1904,Mesobacillus maritimus,206,1643336
UniRef100_A0A0M0GL93/1-205,Cluster: Stage V sporulation protein AA,A0A0M0GL93,Sporosarcina globispora (Bacillus globisporus),206,1459
UniRef100_A0A263BUY0/5-206,Cluster: Stage V sporulation protein AA,A0A263BUY0,Lottiidibacillus patelloidae,208,2670334
UniRef100_I3DWX2/1-205,Cluster: Stage V sporulation protein AA,I3DWX2,Bacillus methanolicus PB1,206,997296
UniRef100_UPI00145C475D/2-205,Cluster: stage V sporulation protein AA,UPI00145C475D,Bacillus sp. RO3,206,2723914
UniRef100_UPI001CD7F488/2-205,Cluster: stage V sporulation protein AA,UPI001CD7F488,Rossellomorea aquimaris,206,189382
UniRef100_UPI0003FED6DA/5-206,Cluster: stage V sporulation protein AA,UPI0003FED6DA,Fictibacillus gelatini,207,225985
UniRef100_A0A178U3K2/1-206,Cluster: Stage V sporulation protein AA (SpoVAA),A0A178U3K2,Parageobacillus thermoglucosidasius (Geobacillus thermoglucosidasius),207,1426
UniRef100_A0A327YPR7/1-206,Cluster: Stage V sporulation protein AA,A0A327YPR7,Anoxybacillus vitaminiphilus,207,581036
UniRef100_A0A366F1X2/2-205,Cluster: Stage V sporulation protein AA,A0A366F1X2,Rossellomorea aquimaris,206,189382
UniRef100_UPI001A8C3985/1-205,Cluster: stage V sporulation protein AA,UPI001A8C3985,Bacillus sp. NTK034,206,2802176
UniRef100_A0A5D4TP28/2-205,Cluster: Stage V sporulation protein AA,A0A5D4TP28,Rossellomorea aquimaris,206,189382
UniRef100_A0A1U6JT28/2-205,Cluster: Stage V sporulation protein AA,A0A1U6JT28,Bacillus sp. V-88,206,1938744
UniRef100_UPI0007D0688D/2-205,Cluster: stage V sporulation protein AA,UPI0007D0688D,Rossellomorea aquimaris,206,189382
UniRef100_UPI001C8E4E2B/1-205,Cluster: stage V sporulation protein AA,UPI001C8E4E2B,Cytobacillus firmus (Bacillus firmus),206,1399
UniRef100_A0A3A1QY89/1-205,Cluster: Stage V sporulation protein AA,A0A3A1QY89,Bacillus salacetis,206,2315464
UniRef100_A0A2V3A1Y6/7-211,Cluster: Stage V sporulation protein AA,A0A2V3A1Y6,Cytobacillus oceanisediminis,212,665099
UniRef100_UPI0005C9C86D/2-205,Cluster: stage V sporulation protein AA,UPI0005C9C86D,Rossellomorea aquimaris,206,189382
UniRef100_A0A1R1F9F4/1-205,Cluster: Stage V sporulation protein AA,A0A1R1F9F4,Paenibacillus sp. FSL R5-0490,206,1920424
UniRef100_A0A5D4MFG1/1-205,Cluster: Stage V sporulation protein AA,A0A5D4MFG1,Rossellomorea vietnamensis,206,218284
UniRef100_A0A0M3RFW3/1-205,Cluster: Stage V sporulation protein AA,A0A0M3RFW3,Bacillus sp. FJAT-18017,206,1705566
UniRef100_UPI00174965A7/1-205,Cluster: stage V sporulation protein AA,UPI00174965A7,Bacillus sp. LOB377,206,2759023
UniRef100_A0A0J5WGW2/1-205,Cluster: Stage V sporulation protein AA,A0A0J5WGW2,Cytobacillus firmus (Bacillus firmus),206,1399
UniRef100_W7LFJ6/1-205,Cluster: Stage V sporulation protein AA,W7LFJ6,Cytobacillus firmus DS1,206,1307436
UniRef100_A0A068LS98/7-211,Cluster: Stage V sporulation protein AA,A0A068LS98,Bacillus methanolicus (strain MGA3 / ATCC 53907),212,796606
UniRef100_A0A366Y003/4-205,Cluster: Stage V sporulation protein AA,A0A366Y003,Bacillus taeanensis,207,273032
UniRef100_UPI001C963D8A/1-205,Cluster: stage V sporulation protein AA,UPI001C963D8A,Cytobacillus firmus (Bacillus firmus),206,1399
UniRef100_A0A285CKK2/1-205,Cluster: Stage V sporulation protein AA,A0A285CKK2,Bacillus oleivorans,206,1448271
UniRef100_UPI0008311360/1-205,Cluster: stage V sporulation protein AA,UPI0008311360,Cytobacillus eiseniae,206,762947
UniRef100_A0A5B8Z6B8/1-205,Cluster: Stage V sporulation protein AA,A0A5B8Z6B8,Bacillus dafuensis,206,1742359
UniRef100_A0A0T6BTL1/1-205,Cluster: Stage V sporulation protein AA,A0A0T6BTL1,Bacillus glycinifermentans,206,1664069
UniRef100_UPI000988312A/1-205,Cluster: stage V sporulation protein AA,UPI000988312A,Bacillus sinesaloumensis,206,1926280
UniRef100_K6DAW4/1-205,Cluster: Stage V sporulation protein AA,K6DAW4,Neobacillus bataviensis LMG 21833,207,1117379
UniRef100_UPI0018CD7ABA/1-205,Cluster: stage V sporulation protein AA,UPI0018CD7ABA,Cytobacillus firmus (Bacillus firmus),206,1399
UniRef100_A0A1C3SF83/1-205,Cluster: SpoVAA,A0A1C3SF83,Bacillus glycinifermentans,206,1664069
UniRef100_UPI001CD7B854/2-205,Cluster: stage V sporulation protein AA,UPI001CD7B854,Rossellomorea aquimaris,206,189382
UniRef100_A0A5A9DYS6/2-205,Cluster: Stage V sporulation protein AA,A0A5A9DYS6,Bacillus sp. CH30_1T,206,2604836
UniRef100_G9QPD3/34-238,Cluster: SporV_AA domain-containing protein,G9QPD3,Bacillus smithii 7_3_47FAA,239,665952
UniRef100_A0A268E5D7/1-205,Cluster: Stage V sporulation protein AA,A0A268E5D7,Bacillus sp. 7586-K,206,2021690
UniRef100_UPI00047CC0E4/1-205,Cluster: stage V sporulation protein AA,UPI00047CC0E4,Bacillus sp. J33,206,935836
UniRef100_N0B3G9/1-205,Cluster: Stage V sporulation protein AA,N0B3G9,Bacillus sp. 1NLA3E,206,666686
UniRef100_A0A4R1B5J3/1-205,Cluster: Stage V sporulation protein AA,A0A4R1B5J3,Cytobacillus praedii,206,1742358
UniRef100_UPI001BE7C3C7/1-205,Cluster: stage V sporulation protein AA,UPI001BE7C3C7,Bacteria,206,2
UniRef100_A0A7X9QSN4/1-205,Cluster: Stage V sporulation protein AA,A0A7X9QSN4,Bacillus sp. DNRA2,206,2723053
UniRef100_A0A2N5G6J1/1-202,Cluster: Stage V sporulation protein AA,A0A2N5G6J1,Bacillus sp. V3-13,204,2053728
UniRef100_A0A1H0WGI2/1-206,Cluster: Stage V sporulation protein AA,A0A1H0WGI2,Litchfieldia salsus,207,930152
UniRef100_UPI00096B4E63/2-205,Cluster: stage V sporulation protein AA,UPI00096B4E63,Bacillus massilionigeriensis,206,1805475
UniRef100_A0A846MCH6/2-206,Cluster: Stage V sporulation protein AA,A0A846MCH6,Saccharococcus thermophilus,207,29396
UniRef100_UPI000C0C0A4F/1-205,Cluster: stage V sporulation protein AA,UPI000C0C0A4F,Fredinandcohnia onubensis,206,1571209
UniRef100_A0A370GBU2/31-235,Cluster: Stage V sporulation protein AA,A0A370GBU2,Falsibacillus pallidus,236,493781
UniRef100_UPI0006535584/1-205,Cluster: stage V sporulation protein AA,UPI0006535584,Bacillus glycinifermentans,206,1664069
UniRef100_A0A248TLW0/1-205,Cluster: Stage V sporulation protein AA,A0A248TLW0,Cytobacillus kochii,206,859143
UniRef100_UPI001782CE59/1-205,Cluster: stage V sporulation protein AA,UPI001782CE59,Cytobacillus sp. Sa5YUA1,206,2762240
UniRef100_UPI0018CF603F/1-205,Cluster: stage V sporulation protein AA,UPI0018CF603F,Cytobacillus firmus (Bacillus firmus),206,1399
UniRef100_A0A3L7JW04/1-205,Cluster: Stage V sporulation protein AA,A0A3L7JW04,Falsibacillus albus,206,2478915
UniRef100_A0A562K0U4/7-211,Cluster: Stage V sporulation protein AA,A0A562K0U4,Cytobacillus oceanisediminis,212,665099
UniRef100_A0A369WWB5/1-206,Cluster: Stage V sporulation protein AA,A0A369WWB5,Parageobacillus thermoglucosidasius (Geobacillus thermoglucosidasius),207,1426
UniRef100_A0A2A9BUN5/2-205,Cluster: Stage V sporulation protein AA,A0A2A9BUN5,Bacillus sp. es.034,206,1761763
UniRef100_UPI001237BFB3/1-205,Cluster: stage V sporulation protein AA,UPI001237BFB3,Bacillus sp. S3,207,486398
UniRef100_A0A6I6UJB0/2-205,Cluster: Stage V sporulation protein AA,A0A6I6UJB0,Rossellomorea vietnamensis,206,218284
UniRef100_A0A023CKN8/2-206,Cluster: Stage V sporulation protein AA,A0A023CKN8,Parageobacillus genomosp. 1,207,1295642
UniRef100_UPI0011A102B1/1-205,Cluster: stage V sporulation protein AA,UPI0011A102B1,Priestia flexa,206,86664
UniRef100_UPI0018CE7F85/1-204,Cluster: stage V sporulation protein AA,UPI0018CE7F85,Fictibacillus,206,1329200
UniRef100_A0A8E2I9V5/1-205,Cluster: Stage V sporulation protein AA,A0A8E2I9V5,Heyndrickxia oleronia,206,38875
UniRef100_UPI00082546F4/1-205,Cluster: stage V sporulation protein AA,UPI00082546F4,Neobacillus soli,207,220688
UniRef100_UPI00077C506B/1-205,Cluster: stage V sporulation protein AA,UPI00077C506B,Priestia flexa,206,86664
UniRef100_UPI0008F8DA13/1-205,Cluster: stage V sporulation protein AA,UPI0008F8DA13,Bacillus tuaregi,206,1816695
UniRef100_UPI000C8304AC/1-205,Cluster: stage V sporulation protein AA,UPI000C8304AC,Bacillus massiliigabonensis,206,1871011
UniRef100_A0A417YV86/1-206,Cluster: Stage V sporulation protein AA,A0A417YV86,Neobacillus notoginsengisoli,207,1578198
UniRef100_A0A7Z0PM53/1-205,Cluster: Stage V sporulation protein AA,A0A7Z0PM53,Bacillus sp. Gen3,206,2736284
UniRef100_A0A0Q3TAK3/1-205,Cluster: Stage V sporulation protein AA,A0A0Q3TAK3,Cytobacillus solani,206,1637975
UniRef100_A0A5J5HUZ5/1-205,Cluster: Stage V sporulation protein AA,A0A5J5HUZ5,Niallia endozanthoxylicus,206,2036016
UniRef100_A0A1N6N960/1-205,Cluster: Stage V sporulation protein AA,A0A1N6N960,Priestia flexa,206,86664
UniRef100_A0A5D4KGK0/1-205,Cluster: Stage V sporulation protein AA,A0A5D4KGK0,Rossellomorea vietnamensis,206,218284
UniRef100_UPI000824930D/1-205,Cluster: stage V sporulation protein AA,UPI000824930D,Metabacillus fastidiosus,206,1458
UniRef100_A0A4U1MHL4/4-200,Cluster: Stage V sporulation protein AA,A0A4U1MHL4,Alkalihalobacillus hwajinpoensis,205,208199
UniRef100_UPI001CFD753A/4-200,Cluster: stage V sporulation protein AA,UPI001CFD753A,Alkalihalobacillus hwajinpoensis,205,208199
UniRef100_UPI0008F8F272/1-205,Cluster: stage V sporulation protein AA,UPI0008F8F272,Bacillus mediterraneensis,206,1805474
UniRef100_UPI00110F2BBF/2-205,Cluster: stage V sporulation protein AA,UPI00110F2BBF,Bacillus sp. BHET2,206,2583818
UniRef100_A0A5D4NYT1/1-205,Cluster: Stage V sporulation protein AA,A0A5D4NYT1,Rossellomorea vietnamensis,206,218284
UniRef100_UPI00140A49A3/1-205,Cluster: stage V sporulation protein AA,UPI00140A49A3,Bacillaceae,207,186817
UniRef100_UPI0017862249/1-204,Cluster: stage V sporulation protein AA,UPI0017862249,Fictibacillus sp. Sa2CUA10,206,2762233
UniRef100_A0A1I0T8B0/1-206,Cluster: Stage V sporulation protein AA,A0A1I0T8B0,Parageobacillus thermantarcticus,207,186116
UniRef100_UPI0018F246D5/1-205,Cluster: stage V sporulation protein AA,UPI0018F246D5,Bacillus renqingensis,206,2780093
UniRef100_A0A7X0LUA2/1-204,Cluster: Stage V sporulation protein AA,A0A7X0LUA2,Bacillus benzoevorans,206,1456
UniRef100_A0A1V3G4X4/1-205,Cluster: Stage V sporulation protein AA,A0A1V3G4X4,Fictibacillus arsenicus,206,255247
UniRef100_A0A5D4RDI0/1-205,Cluster: Stage V sporulation protein AA,A0A5D4RDI0,Bacillus infantis,206,324767
UniRef100_A0A4R2BAE0/7-211,Cluster: Stage V sporulation protein AA,A0A4R2BAE0,Mesobacillus foraminis,212,279826
UniRef100_UPI001BCA2E5D/1-205,Cluster: stage V sporulation protein AA,UPI001BCA2E5D,Bacillus sp. FJAT-49705,206,2833586
UniRef100_UPI0018CF1DFD/1-204,Cluster: stage V sporulation protein AA,UPI0018CF1DFD,Fictibacillus sp. 26RED30,206,2745877
UniRef100_UPI001BECBC4D/1-205,Cluster: stage V sporulation protein AA,UPI001BECBC4D,Bacillus sp. ISL-7,206,2819136
UniRef100_UPI001B324C89/1-205,Cluster: stage V sporulation protein AA,UPI001B324C89,Priestia flexa,206,86664
UniRef100_UPI0007173B01/1-205,Cluster: stage V sporulation protein AA,UPI0007173B01,Siminovitchia farraginis,206,254757
UniRef100_Q2B694/21-225,Cluster: Stage V sporulation protein AA,Q2B694,Bacillus sp. NRRL B-14911,226,313627
UniRef100_UPI0018CE3657/1-205,Cluster: stage V sporulation protein AA,UPI0018CE3657,Cytobacillus firmus (Bacillus firmus),206,1399
