Cluster ID	Cluster name	Cluster members	Organisms	Length	Organism IDs
UniRef100_A0A1S2LTS3	Cluster: Stage V sporulation protein AB	A0A1S2LTS3	Anaerobacillus arseniciselenatis	140	85682
UniRef100_A0A2N3LN09	Cluster: Stage V sporulation protein AB	A0A2N3LN09	Margalitia camelliae	140	1707093
UniRef100_UPI000B26E639	Cluster: stage V sporulation protein AB	UPI000B26E639	Bacillus alveayuensis	140	279215
UniRef100_A0A3L7DDF8	Cluster: Stage V sporulation protein AB	A0A3L7DDF8	Geobacillus stearothermophilus (Bacillus stearothermophilus)	143	1422
UniRef100_UPI000B449466	Cluster: stage V sporulation protein AB	UPI000B449466	Gottfriedia luciferensis	138	178774
UniRef100_A0A164FC62	Cluster: Stage V sporulation protein AB	A0A164FC62; A0A0Q1ETN3	Geobacillus stearothermophilus (Bacillus stearothermophilus); Geobacillus sp. Sah69	143	1422; 1737624
UniRef100_A0A6I2MGE3	Cluster: Stage V sporulation protein AB	A0A6I2MGE3; A0A1S1FKL0	Metabacillus idriensis; Bacillus sp. HMSC76G11	140	324768; 1608910
UniRef100_A0A4V3BAD8	Cluster: Stage V sporulation protein AB	A0A4V3BAD8	[Brevibacterium] frigoritolerans	140	450367
UniRef100_UPI001CBAB099	Cluster: stage V sporulation protein AB	UPI001CBAB099	Bacillus sp. BY2G20	140	2874282
UniRef100_A0A364K879	Cluster: Stage V sporulation protein AB	A0A364K879	Thermoflavimicrobium sp. FBKL4.011	140	2137476
UniRef100_UPI001CFE1959	Cluster: stage V sporulation protein AB	UPI001CFE1959	Metabacillus litoralis	141	152268
UniRef100_UPI00047DDB4B	Cluster: stage V sporulation protein AB	UPI00047DDB4B	Alkalihalobacillus bogoriensis	140	246272
UniRef100_Q5KXJ5	Cluster: Stage V sporulation protein AB	Q5KXJ5; A0A553M4C1; A0A7U9EPI0; A0A7U9JD63; A0A063YSB2; A0A2Z3NCR7; A0A2H5KLJ4; U2Y094; A0A4Q1S4F0; G8N0L4; A0A1V9C6Z5; L8A081; A0A4D7QB34	Geobacillus kaustophilus (strain HTA426); Geobacillus sp. LEMMJ02; Geobacillus sp. A8; Geobacillus thermopakistaniensis (strain MAS1); Geobacillus sp. CAMR5420; Geobacillus thermoleovorans (Bacillus thermoleovorans); Bacillus caldolyticus; Geobacillus kaustophilus GBlys; Geobacillus sp. PK12; Geobacillus thermoleovorans CCB_US3_UF5	143	235909; 2595057; 1095383; 1408282; 1482739; 33941; 1394; 1337888; 2508525; 1111068; 213419; 1233873; 1220595
UniRef100_A0A0J0V5L6	Cluster: Stage V sporulation protein AB	A0A0J0V5L6; A0A226QEE3	Geobacillus sp. T6; Geobacillus thermocatenulatus	143	1659191; 33938
UniRef100_UPI0011425959	Cluster: stage V sporulation protein AB	UPI0011425959	Bacillus sp. 03113	140	2578211
UniRef100_A0A063YJV1	Cluster: Stage V sporulation protein AB	A0A063YJV1	Geobacillus sp. CAMR12739	143	1482738
UniRef100_UPI000996BA22	Cluster: stage V sporulation protein AB	UPI000996BA22	Litchfieldia alkalitelluris	140	304268
UniRef100_A0A2C1KDF3	Cluster: Stage V sporulation protein AB	A0A2C1KDF3	Bacillus sp. AFS040349	140	2033502
UniRef100_UPI00099681CB	Cluster: stage V sporulation protein AB	UPI00099681CB	Bacillus alkalicellulosilyticus	140	1912214
UniRef100_A0A142D225	Cluster: Stage V sporulation protein AB	A0A142D225	Geobacillus sp. JS12	143	1813182
UniRef100_UPI000EF5FECC	Cluster: stage V sporulation protein AB	UPI000EF5FECC	Metabacillus litoralis	140	152268
UniRef100_A0A1Q5SRB1	Cluster: Stage V sporulation protein AB (SpoVAB)	A0A1Q5SRB1; A0A1V4PAL5	Geobacillus proteiniphilus; Geobacillus sp. LEMMY01	143	860353; 1954237
UniRef100_A0A7V9YX44	Cluster: Stage V sporulation protein AB	A0A7V9YX44	Anoxybacillus calidus	140	575178
UniRef100_A0A285CM39	Cluster: Stage V sporulation protein AB	A0A285CM39	Bacillus oleivorans	140	1448271
UniRef100_UPI0001D584E6	Cluster: stage V sporulation protein AB	UPI0001D584E6	Geobacillus sp. (strain C56-T3)	143	691437
UniRef100_UPI0004DF605F	Cluster: stage V sporulation protein AB	UPI0004DF605F	Geobacillus	143	129337
UniRef100_UPI00042780C5	Cluster: stage V sporulation protein AB	UPI00042780C5	Gottfriedia acidiceleris	138	371036
UniRef100_A4IQI2	Cluster: Stage V sporulation protein AB	A4IQI2; A0A0Q0ZQC6; A0A1W6VTF9	Geobacillus thermodenitrificans (strain NG80-2); Geobacillus sp. PA-3; Geobacillus thermodenitrificans	143	420246; 1699078; 33940
UniRef100_UPI001A9D8870	Cluster: stage V sporulation protein AB	UPI001A9D8870	Metabacillus sp. BG109	140	2795218
UniRef100_A0A2B9B764	Cluster: Stage V sporulation protein AB	A0A2B9B764	Bacillus sp. AFS053548	138	2033505
UniRef100_A0A2C3K243	Cluster: Stage V sporulation protein AB	A0A2C3K243	Bacillus sp. AFS029533	138	2033494
UniRef100_UPI0009959805	Cluster: stage V sporulation protein AB	UPI0009959805	Metabacillus halosaccharovorans	140	930124
UniRef100_UPI0018757389	Cluster: stage V sporulation protein AB	UPI0018757389	Cytobacillus luteolus	140	682179
UniRef100_A0A2B8U4M9	Cluster: Stage V sporulation protein AB	A0A2B8U4M9	Bacillus sp. AFS055030	140	2033507
UniRef100_A0A2A8MFE2	Cluster: Stage V sporulation protein AB	A0A2A8MFE2	Bacillus sp. AFS001701	138	2033480
UniRef100_A0A0E0TD84	Cluster: Stage V sporulation protein AB	A0A0E0TD84	Geobacillus sp. (strain Y412MC52)	143	550542
UniRef100_A0A2A7I5B3	Cluster: Stage V sporulation protein AB	A0A2A7I5B3	Bacillus sp. AFS096315	138	2033517
UniRef100_A0A6N3WLN7	Cluster: Stage V sporulation protein AB	A0A6N3WLN7; A0A150MKT0; A0A679FSH4	Geobacillus icigianus; Geobacillus sp. B4113_201601; Geobacillus subterraneus	143	1430331; 1586290; 129338
UniRef100_UPI000B45508D	Cluster: stage V sporulation protein AB	UPI000B45508D	Gottfriedia acidiceleris	138	371036
